#,증빙서류이름,해당 비목,패키지,세부 정보,관련 서식·시스템
1,세금계산서(신용카드 영수증),"재료비, 외주용역비, 기계장치, 특허권 등 무형자산 취득비, 광고선전비, TIPS-연구재료비(시험제품·설비 등 제작비)",7개 패키지 공통 + TIPS,"부가가치세법상 공급자가 발급하는 전자세금계산서(국세청 홈택스에서 조회 가능)가 원칙이며, 발급이 어려운 소액 거래는 사업비카드 결제 신용카드 매출전표로 갈음한다. 거래일자·품목·금액·공급자 사업자등록번호가 실제 집행 내역과 일치해야 인정된다.",국세청 홈택스(hometax.go.kr) — 전자세금계산서 조회·매입매출 확인
2,견적서,"재료비, 외주용역비, 기계장치, 기자재임차비, 장비 수리비, TIPS-연구재료비(시험제품·설비 등 제작비), TIPS-회의비",7개 패키지 공통 + TIPS,계약(구매) 전 공급업체가 제시하는 품목·규격·수량·단가가 기재된 문서. 2천만원 초과 거래는 2개 이상의 비교견적서를 함께 받아 가격 적정성을 입증한다.,IRIS 연구개발정보포털(iris.go.kr) — 과제별 표준 서식
3,검수조서(증빙사진 포함),"재료비, 외주용역비, 기계장치, 기자재임차비, 장비 수리비",7개 패키지 공통,물품 납품·설치나 용역 결과물을 인수할 때 담당자가 규격·수량·상태를 확인·서명하는 문서. 실물·설치 현장 사진을 첨부해 실제 집행 사실을 증명한다.,각 사업 공고문 첨부서식 — K-스타트업(k-startup.go.kr) 공고문 첨부파일 참고
4,거래처 사업자등록증,"재료비, 외주용역비, 기계장치, 광고선전비",7개 패키지 공통,국세청에 등록된 정상 사업자와 거래했음을 증명하는 서류. 휴폐업 여부와 업종이 거래 내용과 부합하는지 확인하는 용도로 쓰인다.,별도 서식 없음 — 신분증·통장 등 기존 증빙의 사본을 제출
5,거래처 통장사본,"재료비, 외주용역비, 기계장치, 광고선전비",7개 패키지 공통,대금이 실제 거래처(사업자) 명의 계좌로 입금되었는지 대조하기 위한 서류. 예금주명이 사업자등록증상 대표자·법인명과 일치해야 한다.,별도 서식 없음 — 신분증·통장 등 기존 증빙의 사본을 제출
6,재료활용계획서,재료비,"예비창업패키지, 초기창업패키지, 모두의 창업 프로젝트, 창업도약패키지, 창업중심대학, 초격차 스타트업",재료비 집행 전 어떤 재료를 어떤 목적(시제품 제작 등)으로 얼마나 사용할지 사전에 작성·제출하는 계획서(창업중심대학 등 일부 사업에서 요구).,각 사업 공고문 첨부서식 — K-스타트업(k-startup.go.kr) 공고문 첨부파일 참고
7,비교견적서,"재료비, 기타-비교견적서(전 비목 공통 규정)",7개 패키지 공통,2천만원(부가세 포함) 초과 거래의 가격 적정성을 검증하기 위해 2개 이상 업체로부터 받는 견적서 비교 자료. 나라장터 등록 단가·최저가 비교 근거로도 활용된다.,각 사업 공고문 첨부서식 — K-스타트업(k-startup.go.kr) 공고문 첨부파일 참고
8,계약서(과업내용 포함),"외주용역비, 특허권 등 무형자산 취득비, 시험·인증비, 세무·회계비, 기술보호비, 광고선전비, TIPS-연구시설·장비비, TIPS-연구재료비(시약·재료), TIPS-연구재료비(시험제품), TIPS-연구실 운영비, TIPS-소프트웨어 활용비",7개 패키지 공통 + TIPS,과업범위·납기·대금지급조건(선급금 비율 포함)을 명시한 문서. 30만원 이하 소액 결제는 견적서로 갈음 가능한 경우가 있다.,IRIS 연구개발정보포털(iris.go.kr) — 과제별 표준 서식
9,결과보고서,"외주용역비, 광고선전비",7개 패키지 공통,용역 수행 결과물(산출물)과 수행 과정을 정리해 발주자에게 제출하는 문서. 검수조서와 함께 실제 과업 완료를 입증하는 핵심 자료다.,각 사업 공고문 첨부서식 — K-스타트업(k-startup.go.kr) 공고문 첨부파일 참고
10,선급금이행보증보험(각서),외주용역비,7개 패키지 공통,계약 총액의 50% 이하로 선급금을 지급할 때 수급업체의 이행을 담보하기 위해 요구하는 보증보험증권 또는 이를 대신하는 이행각서다.,창업기업이 작성하는 서식이 아님 — 발급 주체(금융기관·의료기관·행사 주최측·거래처 등)가 정한 자체 양식으로 발급
11,과업지시서,외주용역비,7개 패키지 공통,"외주용역 착수 전 구체적 과업 내용·범위·일정을 지시하는 문서로, 계약서의 부속서류 성격을 가진다(창업중심대학 등).",각 사업 공고문 첨부서식 — K-스타트업(k-startup.go.kr) 공고문 첨부파일 참고
