구분,#,비목 이름,패키지명,정의,증빙서류,집행기준
표A,1,재료비,"예비창업패키지, 초기창업패키지, 모두의 창업 프로젝트(기계장치와 통합 규정), 창업도약패키지, 창업중심대학, 초격차 스타트업 — 재도전성공패키지는 해당 비목 없음(재료비는 자기부담 현물의 세부항목으로만 등장하며, 정부지원사업비로 집행하는 별도 비목은 아님)","① 사업계획서 상의 사업화를 위해 소요되는 재료 또는 원료, 데이터 등을 구매하는 비용 (예비창업패키지·초기창업패키지·모두의 창업); ② 시제품 제작에 소요되는 재료(원료), 데이터 등 구입 비용 (창업도약패키지); ③ 사업계획서상 시제품 제작 시 필요한 재료 또는 원료, 데이터 등 유·무형 재료를 구입하는 비용 (창업중심대학); ④ 사업계획서상 사업화(시제품 제작)를 위해 소요되는 재료 또는 원료(데이터 등 포함)를 구입하는 비용 (초격차 스타트업)","세금계산서(신용카드 영수증), 견적서(거래명세서), 검수조서(증빙사진 포함), 거래처 사업자등록증, 거래처 통장사본 — 창업중심대학은 재료활용계획서·비교견적서(2천만원 초과) 추가","① 협약기간 내 납품 및 사용 완료 건에 한해 집행 가능 (예비창업패키지·초기창업패키지·창업도약패키지·모두의 창업·초격차 스타트업 공통); ② 시제품 연관성 부족·과다 수량 구매 시 전문가 검토 거쳐 집행 제한 가능 (창업도약패키지·모두의 창업·창업중심대학); ③ 귀금속·보석·원석 원칙 불가(사전승인 시 예외), 맞춤 제작 재료는 외주용역비로 집행, 국외구매 관세 집행 불가 (창업중심대학); ④ 금속·보석·원석 원칙 불가, 관세·각종 수수료 집행 불가, 사업연관성 낮은 컴퓨터 부품 다량구매 제한 가능 (초격차 스타트업)"
표A,2,외주용역비,7개 패키지 전체 공통,① 창업기업등이 창업아이템을 고도화하거나 사업계획을 수행하기 위해 일부 공정을 외부 업체에 의뢰·제작하고 대가를 지급하는 비용 (예비창업패키지·초기창업패키지·모두의 창업·재도전성공패키지·창업도약패키지); ② 창업기업이 시제품 제작 및 사업화를 위해 외부 전문기관(업체)에 의뢰하여 시제품제작·시장조사·연구개발 등의 용역계약을 통해 시행·제작하고 대가를 지급 (창업중심대학); ③ 창업아이템 고도화·사업계획 수행을 위해 자체 수행 불가 과업을 외부 업체(사업자등록업체)에 의뢰·제작하고 지급하는 대가 (초격차 스타트업),"세금계산서(신용카드 영수증), 계약서(과업내용 포함), 결과보고서, 검수조서(증빙사진 포함), 거래처 사업자등록증, 거래처 통장사본, 선급금이행보증보험(각서)(필요시) — 창업중심대학은 견적서(30만원 이하 결제 시 생략)·과업지시서 추가, 모두의 창업은 프리랜서마켓 이용 시 플랫폼 거래확인서·전자주문서 추가","① 선급금은 계약 총액의 50% 이하 (전 패키지 공통); ② 단일 건 또는 동일업체 합산 2천만원 초과(VAT포함) 시 사업운영위원회 사전심의 필수, 부적정 1개 이상 시 집행 불가 (전 패키지 공통, 단 '이상'/'초과' 표현이 문서마다 상이하니 개별 공고문 확인 필요); ③ 최종 결과물 검수 후 일괄납부 원칙, 프리랜서 마켓 이용 시 사업자등록업체 계약 원칙(모두의 창업·창업도약패키지·초격차 스타트업은 개인 거래 시 플랫폼 통한 대금지급만 허용); ④ 영업비밀보호 등 불가피 사유 시 사전심의 생략 가능하나 사유서·검토서·내부결재문서 구비 필수 (재도전성공패키지·창업도약패키지·초격차 스타트업 등); ⑤ 양산 목적 금형제작비 불가, 결과물 미구동 시 집행 불가 (창업중심대학·초격차 스타트업)"
표A,3,"기계장치(공구·기구, 비품, SW 등)",7개 패키지 전체 공통(모두의 창업은 재료비와 통합 규정),"사업화를 위해 필요한 일정 횟수 또는 반영구적으로 사용 가능한 기계 또는 설비, 비품(SW 포함)을 구매하는 비용 — 실질 동일","세금계산서(신용카드 영수증), 견적서(거래명세서), 검수조서(증빙사진 포함), 거래처 사업자등록증, 거래처 통장사본 — 창업중심대학은 기계장치활용계획서 추가","① 중고품 구매 가능하나 개인 간 거래 불가, 중고상품 취급 명시 사업자와의 거래만 가능 (전 패키지 공통); ② PC(노트북 포함)는 대표자·재직(신규채용) 임직원 1인당 1대 한정 (예비창업패키지·초기창업패키지·초격차 스타트업 등); ③ 취득가액 기준 자산관리대장 등록·온라인시스템 등록 의무 — 기준액은 패키지·연도별로 상이(50만원~500만원) (예비창업패키지·초기창업패키지·창업중심대학); ④ 사무용 집기·가구·생활가전, 범용 SW 등은 원칙 불가 (창업중심대학·초격차 스타트업). 창업중심대학은 연관성 높고 사전승인 시 예외 가능, 초격차 스타트업은 범용 SW에 한해 사전 검토 후 예외 가능하며 사무용 집기·가구·생활가전은 예외 불인정"
표A,4,특허권 등 무형자산 취득비,"예비창업패키지·초기창업패키지(2024·2025년판, [붙임2] 해설표), 모두의 창업 프로젝트, 창업중심대학, 초격차 스타트업 — 재도전성공패키지·창업도약패키지는 해당 비목 없음",사업계획서 상의 창업아이템과 직접 관련있는 지식재산권(산업재산권·특허·SW등록 포함 저작권 등) 등의 출원·등록 관련 비용 — 실질 동일,"세금계산서(신용카드 영수증), 계약서(과업내용 포함된 견적서로 대체 가능), 출원(등록)청구서 및 등록증, 관납료 영수증 등 — 창업중심대학은 출원(등록)통지서, 우선심사청구서·접수증, 선행기술조사보고서 추가",① 최초 협약시작일 이후 출원 건의 선행기술조사비·우선심사청구비 집행 가능 (창업중심대학·초격차 스타트업); ② 협약 이전 출원 건의 비용·대리인 성공보수료는 원칙 집행 불가(예외 조건은 패키지·연도별 상이) (창업중심대학·초격차 스타트업); ③ 모두의 창업 프로젝트: 별도 유의사항 없음(전문기관 가이드 적용)
표A,5,인건비,"예비창업패키지, 초기창업패키지, 재도전성공패키지, 창업도약패키지, 창업중심대학, 초격차 스타트업 — 모두의 창업 프로젝트는 창업기업 비목에서 제외(주관기관 인건비만 규정)",창업기업등 소속 직원(신규 채용 포함)이 시제품제작·과제 수행에 직접 참여하는 경우 과제참여율에 따라 지급하는 급여 — 실질 동일,"최초: 4대보험가입확인서, 근로계약서·이력서, 근로자 신분증·통장사본, 근로자 청렴서약서 / 매달: 급여대장, 입금확인증 / 협약종료: 원천징수이행상황신고서(또는 근로소득원천징수영수증), 4대보험료 월별납부확인서, 퇴직연금납입내역서(1년 이상 재직자) / 건강검진비: 건강검진 실시확인서 등","① 신규 채용은 협약종료일 1개월 이전 채용(고용보험 취득일 기준)분만 인정, 채용월은 4대보험 전체 취득 완료일 기준 일할 계상 (전 패키지 공통); ② 4대보험 전부 가입 불가 근로자 예외 3유형(만60세 이상 국민연금 제외자, 만65세 이후 고용 고용보험 제외자, 외국인 근로자 적용제외자) (전 패키지 공통); ③ 대표자 인건비는 정부지원사업비로 집행 불가(현물 계상만 가능) (초격차 스타트업 등); ④ 퇴직급여충당금 집행 조건(1년 이상 근로, 참여율 100% 등)은 패키지·연도별로 상이 (재도전성공패키지·창업도약패키지 등); ⑤ 친족(민법 제767조 또는 배우자·직계존비속) 인건비 지급 불가 (창업중심대학·초격차 스타트업)"
표A,6,지급수수료 - 기술이전비,"예비창업패키지, 초기창업패키지, 모두의 창업 프로젝트, 창업도약패키지, 창업중심대학, 초격차 스타트업 — 재도전성공패키지는 2026년판에서 조항 삭제",특허 등 기술 도입·이전에 따른 비용(창업아이템과 직접 관련 + 법적 권리 보장 계약에 한함) — 실질 동일,"활용계획서(기술요약 포함), 기술이전계약서, 기술이전 완료보고서(또는 이전기업 승인 공문), 평가 증빙서류 및 재산거래 플랫폼 이용 확인서류",국가지식재산거래플랫폼(ipmarket.or.kr) 특허거래전문관 중개로 가격산정·거래협상된 경우 집행 가능(공통 원칙). 재도전성공패키지·초격차 스타트업 최신판에서는 해당 조항이 삭제됨
표A,7,지급수수료 - 학회·세미나 참가비,"예비창업패키지·초기창업패키지(2024·2025년판, [붙임2] 해설표), 모두의 창업 프로젝트, 창업중심대학, 초격차 스타트업 — 재도전성공패키지·창업도약패키지는 해당 조항 없음",재직 임직원의 학회 또는 세미나 참가비(등록비) — 실질 동일,"카탈로그, 참가비 영수증, 참가 결과보고(증빙사진·참가확인서 포함)",협약기간 내 개최하는 학회·세미나 참가비에 한하여 집행 가능(공통)
표A,8,지급수수료 - 전시회·박람회 참가비,"예비창업패키지·초기창업패키지(2024·2025년판, [붙임2] 해설표), 모두의 창업 프로젝트, 창업중심대학, 초격차 스타트업 — 재도전성공패키지·창업도약패키지는 해당 조항 없음(창업도약패키지는 성과홍보 의무 조항에 ""전시회"" 문구가 한 번 등장할 뿐, 지급수수료 세부항목은 아님)",협약기간 내 개최하는 제품 홍보 목적 국내·외 전시회·박람회 참가 비용 — 실질 동일,"카탈로그, 참가비 영수증, 참가 결과보고(증빙사진·참가확인서 포함)","참가등록비·부스 임차비 및 장치비·통역비에 한하여 집행, 숙식비 등 체제비 불가(창업중심대학 명시)"
표A,9,지급수수료 - 시험·인증비,"예비창업패키지, 초기창업패키지, 모두의 창업 프로젝트, 창업도약패키지, 창업중심대학, 초격차 스타트업 — 재도전성공패키지는 2026년판에서 조항 삭제",창업사업화를 위한 시험분석 및 제품·시스템·기업 인증 등에 소요되는 경비 — 실질 동일,"계약서(또는 시험인증신청서 및 접수증), 시험·인증서, 컨설팅일지(필요시)","제품인증은 시험분석·인증·컨설팅 비용에 한함, 시스템인증은 신규 인증심사(갱신 제외) 및 등록비용에 한함(공통)"
표A,10,지급수수료 - 멘토링비,7개 패키지 전체,창업기업이 사업화·경영 관련 자문을 내·외부 전문가(멘토)로부터 받고 그 대가로 지급하는 경비 — 실질 동일,"멘토 이력서(최초), 회차별 멘토링 보고서(증빙사진 포함), 멘토 주민등록증 사본, 입금확인증(전자세금계산서 발급 불가 시)","① 1인 1일 최대 30만원 한도, 12만 5천원 초과 집행 시 소득세 등 공제 후 집행 (예비창업패키지·초기창업패키지·모두의 창업·재도전성공패키지·창업도약패키지·창업중심대학); ② 시간당 10만원 초과 불가 (모두의 창업 등); ③ 초격차 스타트업은 창업기업 멘토링비 자체의 금액 상한 조항이 없음(사업모델 개발·제품 개선 등을 위한 멘토링 대가로만 규정); ④ 주관기관(전담조직) 소속 인력에게 집행 불가 (전 패키지 공통); ⑤ 재도전성공패키지: 1인당 사업기간 전체 합산 최대 500만원 한도; ; 참고: 초격차 스타트업 세부관리기준의 ""시간당 20만원 이하(일 상한 100만원)""는 창업기업이 지급하는 멘토링비가 아니라, 평가위원회·사업운영위원회·프로그램에 참여하는 초격차위원단에게 사업 운영 주체가 지급하는 별도 활동수당이므로 혼동하지 않도록 주의"
표A,11,지급수수료 - 기자재임차비,7개 패키지 전체 공통,창업사업화를 위해 필요한 기기·장비·서버 등을 임차하는 데 소요되는 경비 — 실질 동일,"검수조서(증빙사진 포함), 견적서(기자재기준단가표 포함), 임차 계약서","민간기업 임차 시 2개 이상 복수견적 필수, 대학·연구소 등 전문기관 임차 시 내부 기준단가 적용(전 패키지 공통). 창업중심대학·초격차 스타트업은 차량 임차 원칙 불가"
